"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP1";"SPS_LOGO_IMG";1;"TestPoint";;;
2;"SW4,SW5";"SW_SPST_EVQPE1";2;"SW_Push";;;
3;"J2";"USB_Type_C";1;"TYPE-C-31-M-12 (USB C CONN)";;;
4;"BZ1";"BUZZER_CUI_CPT";1;"Buzzer";;;
5;"SW2,SW1,SW3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";3;"SW_Push";;;
6;"R7,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"15R";;;
7;"U3";"LTD080BUE-103A_made_by_bismarx";1;"LTD080BUE-103A";;;
8;"U2,U4";"LDD080BUE-101A_made_by_bismarx";2;"LDD080BUE-101A";;;
9;"D3,D4,D2,D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"LED";;;
10;"D_EXT3,D_EXT2,D_EXT1,J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";4;"Conn_01x02_Pin";;;
11;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"0R";;;
12;"D1";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"D_Schottky";;;
13;"TP2";"SCHRACK_LOGO_IMG";1;"TestPoint";;;
14;"J3";"MICRO_SD_CARD";1;"MEM2067-02-180-00-A_REVB";;;
15;"BT1";"SOLDER_PADS";1;"Battery";;;
16;"C9,C11,C2,C12,C10,C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100nF";;;
17;"U6";"ESP32-S3-WROOM-2";1;"ESP32-S3-WROOM-2";;;
18;"C15,C1";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";2;"10uF";;;
19;"R9,R4,R8,R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"220R";;;
20;"R11,R10,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"2k";;;
21;"R1,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
22;"U7";"TSOT-23-6_HandSoldering";1;"USBLC6-2SC6";;;
23;"C7";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"10uF.mcu";;;
24;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF.max";;;
25;"C3,C4";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";2;"10uF.stabl";;;
26;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF.mcu";;;
27;"U5";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"MAX7219";;;
28;"U1";"TO-263-3_TabPin2";1;"LM1084-3.3";;;
29;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF.boot";;;
30;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k.mcu";;;
31;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF.en";;;
32;"C5";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"10uF.max";;;
